jahr,Planungsraum,Unnamed: 1,18-64 Jahre insgesamt,ab 65 Jahre insgesamt,18-64 Jahre Deutsche," je 100 der Bevölkerung1)
(ab 65 Jahre,
Deutsche",18-64 Jahre Ausländer,ab 65 Jahre Ausländer,"Bevölkerung
18 - 64 Jahre
insgesamt"," Bevölkerung
ab 65 Jahre
insgesamt","Empfänger
18 - 64 Jahre
insgesamt"," Empfänger
ab 65 Jahre
insgesamt","Bevölkerung
18 - 64 Jahre
Deutsche","Bevölkerung
ab 65 Jahre
Deutsche","Empfänger
18 - 64 Jahre
Deutsche"," Empfänger
ab 65 Jahre
Deutsche","Bevölkerung
18 - 64 Jahre
Ausländer","Bevölkerung
ab 65 Jahre
Ausländer","Empfänger
18 - 64 Jahre
Ausländer"," Empfänger
ab 65 Jahre
Ausländer",ab 65 Jahre Deutsche
2006,,Berlin,0.68,3.45,0.74,3.03,0.35,10.81,2249617.0,603594.0,15245.0,20806.0,1876157.0,571008.0,13939.0,17282.0,373460.0,32586.0,1306.0,3524.0,
2007,,Berlin,0.77,3.67,0.84,,0.4,10.68,2244508.0,619510.0,17282.0,22746.0,1866465.0,584998.0,15770.0,19060.0,378043.0,34512.0,1512.0,3686.0,3.26
2008,,Berlin,0.85,4.05,0.96,,0.46,11.97,2319436.0,635804.0,19617.0,25778.0,1860710.0,599749.0,17872.0,21463.0,380139.0,36055.0,1745.0,4315.0,3.58
2009,,Berlin,0.93,4.25,1.0,,0.63,17.4,2231391.0,648119.0,20842.0,27532.0,1858253.0,611901.0,18491.0,21229.0,373138.0,36218.0,2351.0,6303.0,3.47
2010,,Berlin,10171.83,2296.58,1.04,,0.71,18.77,2240550.0,649841.0,22027.0,28296.0,1868091.0,613746.0,19394.0,21521.0,372459.0,36095.0,2633.0,6775.0,3.51
2011,,Berlin,1.04,4.6,1.11,,0.74,18.71,2270236.0,650966.0,23697.0,29930.0,1879290.0,612416.0,20806.0,22719.0,390946.0,38550.0,2891.0,7211.0,3.71
2012,,Berlin,1.11,4.84,1.18,,0.76,18.67,2295944.0,658202.0,25446.0,31889.0,1882412.0,616989.0,22299.0,24196.0,413532.0,41213.0,3147.0,7693.0,3.92
2013,,Berlin,1.16,5.13,1.26,,0.77,18.66,2324383.0,666838.0,27053.0,34204.0,1881485.0,622494.0,23628.0,25929.0,442898.0,44344.0,3425.0,8275.0,4.17
2014,,Berlin,1.22,5.26,1.33,,0.79,18.46,2340850.0,683006.0,28597.0,35933.0,1871421.0,635084.0,24909.0,27087.0,469429.0,47922.0,3688.0,8846.0,4.27
2015,,Berlin,1.26,5.54,1.39,,0.79,19.08,2361876.0,690854.0,29761.0,38307.0,1857028.0,640589.0,25779.0,28716.0,504848.0,50265.0,3982.0,9591.0,4.48
2016,,Berlin,1.26,5.52,1.4,,0.77,19.0,2393632.0,699968.0,30060.0,38628.0,1848181.0,647225.0,25835.0,28608.0,545451.0,52743.0,4225.0,10020.0,4.42
2017,,Berlin,1.3,5.72,1.46,,0.8,19.22,2414428.0,709181.0,31485.0,40550.0,1841353.0,653645.0,26874.0,29875.0,573075.0,55536.0,4611.0,10675.0,4.57
2018,,Berlin,1.34,5.9,1.5,,0.82,19.09,2435884.0,715373.0,32532.0,42211.0,1833259.0,657271.0,27569.0,31120.0,602625.0,58102.0,4963.0,11091.0,4.73
